Faculty,Gender,Registration No.(20/1/400/D/178),Offering time,Year of Graduation,Campus,The Programme met my expectations,The programme curriculum was rich and work-oriented,There was a variety of electives to choose,My lecturers have been teaching regularly,I am competent to apply what I studied at Ndejje University in the field,Lecturers displayed knowledge of course content,Lecturers emphasized critical thinking,Lecturers were available for consultation outside class,Tests and exams were communicated in time for ample preparations,How would you rate the contribution of your mentor/Supervisor to the successes of your Research?,My research experience contributed to my academic success?,"Library facilities (atmosphere, available sitting, hours)","Library staff (assistance in research, effectively finding information, learning how to use the libraries)","Access to electronic library resources (databases, electronic journals, and electronic books)",The hostels facilities were conducive,The staff at the Dean of Students office were supportive during challenges,Students were encouraged to participate in co-curricular activities,The quality of meals was adequate,There were adequate counselling services in place,The Chaplaincy activities contributed to my spiritual welfare,Suggestion for Improvement of the above services provided,ICT staff have been available for assistance,Projectors were available for learning,There was an effective Public Address for my class,There was access to reliable internet at the Faculty,There was access to computer labs during the practical courses,Online learning (ODeL) experience,Overall Satisfaction with University Departments [VC and DVC offices],Overall Satisfaction with University Departments [Academic Registrarâ€™s office],Overall Satisfaction with University Departments [Finance/Accounts],Overall Satisfaction with University Departments [Students Guild services],Overall Satisfaction with University Departments [Chaplaincy],Overall Satisfaction with University Departments [Sports facilities and recreation services],Overall Satisfaction with University Departments [Kitchen Services],Overall Satisfaction with University Departments [University Health Services],Overall Satisfaction with University Departments [Halls of residence],Overall Satisfaction with University Departments [University Website and Social Media Platforms],Overall Satisfaction with University Departments [Science/Practical Laboratories],Overall Satisfaction with University Departments [Community Outreach services],Overall Satisfaction with University Departments [Security department],"4
Rate your overall experience about Ndejje University","2
How likely are you to recommend someone to join Ndejje University",Home District,Hall of Residence,Tution 
Faculty of Engineering & Survey,Female,19/1/328 /D/489,Day,2023,Main Campus Luwero,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Good,Agree,Good,Good,Good,Agree,Agree,Agree,Neutral,Neutral,Agree,Meals to be improved,Agree,Neutral,Agree,Neutral,Neutral,Dissatisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Neutral,4,3,Wakiso,Yokaana,"1,600,000"
Faculty of Engineering & Survey,Female,20/2/328/W/747,Weekend,2023,Kampala Campus,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Excellent,Strongly agree,Good,Average,Fair,Agree,Agree,Agree,Agree,Agree,Agree,More announcements be made about church services,Agree,Agree,Agree,Agree,Agree,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Neutral,Satisfied,4,4,Kampala,Muteesa,"1,700,000"
Faculty of Engineering & Survey,Male,19/1/328/D/465,Day,2023,Main Campus Luwero,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Good,Agree,Good,Good,Average,Neutral,Agree,Agree,Neutral,Neutral,Agree,"The meals should be improved, Yokana hostel should be renovated. I resided there for 4 years but the plumbing services were always poor",Agree,Agree,Neutral,Disagree,Agree,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Very Satisfied,Neutral,Neutral,Neutral,Satisfied,Neutral,Satisfied,Very Satisfied,NA,5,Wakiso,Akidua,"1,800,000"
Faculty of Engineering & Survey,Male,18/1/328/D/157,Day,2023,Main Campus Luwero,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Average,Strongly agree,Excellent,Good,Fair,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly agree,Meals preparation should be done in time and regular higher offices check ups for quality assurance,Disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Satisfied,Neutral,Very Dissatisfied,Dissatisfied,Very Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,Very Satisfied,4,4,Wakiso,Ham Mukasa,"1,600,000"
Faculty of Engineering & Survey,Male,20/2/328/W/467,Weekend,2023,Kampala Campus,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Good,Good,Good,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Improve on conselli,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Very Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,3,3,Kampala,Yokaana,"1,700,000"
Faculty of Engineering & Survey,Male,19/1/328/D/468,Day,2023,Main Campus Luwero,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Neutral,Neutral,Average,Agree,Fair,Average,Average,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,"Students should not stay more that 2 students in one room, to reduce theft.",Neutral,Agree,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Neutral,Neutral,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Neutral,Neutral,Neutral,3,3,Wakiso,Muteesa,"1,600,000"
Faculty of Engineering & Survey,Female,19/1/328/D/726,Day,2023,Main Campus Luwero,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Good,Agree,Good,Good,Average,Agree,Agree,Agree,Neutral,Neutral,Agree,Meals should be given attention especially supper,Neutral,Disagree,Agree,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Neutral,Dissatisfied,Neutral,Neutral,3,2,Kampala,Akidua,"1,800,000"
Faculty of Engineering & Survey,Female,20/2/328/W/514,Weekend,2023,Kampala Campus,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Good,Agree,Good,Good,Fair,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Even Kampala campus should be involved in most of the above activities since we pay alot of money,Neutral,Neutral,Agree,Neutral,Neutral,Satisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,4,4,Bukomansimbi,Akidua,"1,700,000"
Faculty of Engineering & Survey,Male,20/2/328/W/319,Weekend,2023,Kampala Campus,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Good,Strongly agree,Excellent,Excellent,Excellent,Neutral,Neutral,Neutral,Neutral,Agree,Agree,NA,Agree,Agree,Neutral,Disagree,Agree,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,4,4,Butambala,Yokaana,"3,800,000"
Faculty of Engineering & Survey,Female,20/2/328/W/905,Weekend,2023,Kampala Campus,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Excellent,Agree,Good,Average,Average,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Involvement in curricula activities should be improved,Neutral,Disagree,Disagree,Disagree,Agree,Dissatisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Satisfied,Very Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Satisfied,2,4,Buvuma,Muteesa,"3,000,000"
Faculty of Engineering & Survey,Male,20/1/328/D/506,Day,2023,Main Campus Luwero,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Good,Agree,Fair,Fair,Poor,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,NA,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Satisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Neutral,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Very Satisfied,4,3,Gomba,Akidua,"3,800,000"
Faculty of Engineering & Survey,Male,19/1/328/D/009,Day,2023,Main Campus Luwero,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Excellent,Agree,Good,Good,Good,Agree,Agree,Agree,Agree,Neutral,Agree,I appreciate the services,Agree,Agree,Neutral,Neutral,Agree,Satisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Dissatisfied,Satisfied,4,4,Kalangala,Ham Mukasa,"3,000,000"
Faculty of Engineering & Survey,Male,19/1/328/D/681,Day,2023,Main Campus Luwero,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Average,Agree,Fair,Poor,Fair,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,University should stop feeding students with poor and fake meals,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,2,1,Kalungu,Yokaana,"3,800,000"
Faculty of Engineering & Survey,Male,19/1/328/D/657,Day,2023,Main Campus Luwero,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Good,Agree,Fair,Good,Poor,Neutral,Agree,Agree,Strongly disagree,Agree,Strongly agree,None,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Very Dissatisfied,Neutral,Very Satisfied,Very Satisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,3,3,Kampala,Muteesa,"3,000,000"
Faculty of Engineering & Survey,Male,19/1/328/D/669,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Excellent,Strongly agree,Excellent,Excellent,Excellent,Strongly agree,Agree,Agree,Agree,Agree,Agree,NA,Agree,Agree,Agree,Agree,Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4,4,Kasanda,Akidua,"3,800,000"
Faculty of Engineering & Survey,Male,19/2/328/W/953,Weekend,2023,Kampala Campus,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Excellent,Strongly agree,Average,Average,Poor,Neutral,Neutral,Agree,Agree,Neutral,Agree,"Fellowships, spiritual seminars, Retreats to be part of the Universities Semester Calenders",Agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Satisfied,4,5,Kayunga,Ham Mukasa,"3,000,000"
Faculty of Engineering & Survey,Female,19/1/328/D/554,Day,2023,Main Campus Luwero,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Excellent,Strongly agree,Good,Average,Fair,Neutral,Strongly agree,Neutral,Agree,Agree,Strongly agree,Means for residents,Neutral,Agree,Agree,Neutral,Agree,Neutral,Very Satisfied,Very Satisfied,Satisfied,Neutral,Very Satisfied,Very Satisfied,Satisfied,Neutral,Neutral,Neutral,Satisfied,Very Satisfied,Satisfied,2,2,Kiboga,Yokaana,"2,200,000"
Faculty of Engineering & Survey,Male,19/1/328/D/652,Day,2023,Main Campus Luwero,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Excellent,Strongly agree,Fair,Average,Average,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,NA,Strongly agree,Agree,Agree,Agree,Strongly agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,3,4,Kyankwanzi,Muteesa,"3,000,000"
Faculty of Engineering & Survey,Female,19/1/328/D/108,Day,2023,Main Campus Luwero,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Excellent,Agree,Good,Good,Good,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,NA,Agree,Agree,Neutral,Neutral,Agree,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,NA,3,Kyotera,Akidua,"3,800,000"
Faculty of Engineering & Survey,Female,19/1/328/D/108,Day,2023,Main Campus Luwero,Neutral,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Good,Agree,Good,Good,Good,Agree,Agree,Neutral,Neutral,Neutral,Neutral,NA,Agree,Agree,Agree,Neutral,Agree,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Neutral,Neutral,Neutral,Neutral,NA,3,Luweero,Ham Mukasa,"3,000,000"
Faculty of Engineering & Survey,Male,19/1/328/D/491,Day,2023,Main Campus Luwero,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Good,Strongly agree,Average,Average,Average,Disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,"Rehabilitation of Yokanah urinals
Improvement on the meals in the dining hall",Disagree,Agree,Neutral,Disagree,Disagree,Dissatisfied,Very Satisfied,Very Satisfied,Satisfied,Dissatisfied,Very Satisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,4,3,Bukomansimbi,Yokaana,"3,800,000"
Faculty of Engineering & Survey,Male,19/1/328/D/490,Day,2023,Main Campus Luwero,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Agree,Good,Neutral,Average,Average,Average,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Nice meals should be provided at specific days and also wifi should be provided to residential halls for students to access and research,Neutral,Disagree,Neutral,Disagree,Agree,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Dissatisfied,Satisfied,Neutral,3,2,Butambala,Muteesa,"3,000,000"
Faculty of Engineering & Survey,Female,19/1/328/D/457,Day,2023,Main Campus Luwero,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Average,Average,Fair,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"The meals. The meals are unpredictably horrible most times. Its nor that the food is bad, just how it's is prepared makes it bad. But because of very few alternatives,  you ear it regardless.  The halls of residence, please fix the water issues. The place is always flooded.",Agree,Agree,Disagree,Strongly disagree,Strongly agree,Very Dissatisfied,Neutral,Very Satisfied,Very Dissatisfied,Satisfied,Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Very Satisfied,3,2,Buvuma,Akidua,"3,800,000"
Faculty of Engineering & Survey,Male,19/ 1/328/D/140,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Good,Strongly agree,Good,Good,Good,Agree,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Construction of the Chappelle,Agree,Agree,Agree,Agree,Agree,Satisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,4,4,Gomba,Ham Mukasa,"3,000,000"
Faculty of Engineering & Survey,Male,19/1/328/D/348,Day,2023,Main Campus Luwero,Neutral,Agree,Strongly disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Average,Neutral,Fair,Average,Fair,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Consulting residents about meals and conditions of residence regularly,Agree,Strongly agree,Disagree,Neutral,Agree,Satisfied,Neutral,Satisfied,Dissatisfied,Neutral,Satisfied,Dissatisfied,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Dissatisfied,Neutral,4,4,Kalangala,Akidua,"3,800,000"
Faculty of Engineering & Survey,Male,20/2/328/W/467,Weekend,2023,Kampala Campus,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Excellent,Agree,Excellent,Excellent,Excellent,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,4,3,Kalungu,Yokaana,"3,000,000"
Faculty of Engineering & Survey,Male,19/1/328/D/098,Day,2023,Main Campus Luwero,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Excellent,Strongly agree,Average,Good,Fair,Neutral,Neutral,Strongly agree,Disagree,Disagree,Strongly agree,NA,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Dissatisfied,Satisfied,Neutral,Dissatisfied,Neutral,Very Satisfied,Very Satisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,3,3,Kampala,Muteesa,"2,200,000"
Faculty of Engineering & Survey,Female,20/2/328/W/447,Weekend,2023,Kampala Campus,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Excellent,Excellent,Good,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,NA,Agree,Strongly agree,Strongly agree,Disagree,Agree,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4,5,Kasanda,Akidua,"3,000,000"
Faculty of Engineering & Survey,Male,20/2/328/W/668,Weekend,2023,Kampala Campus,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Excellent,Strongly agree,Average,Average,Poor,Agree,Agree,Agree,Agree,Agree,Agree,NA,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,4,4,Kayunga,Ham Mukasa,"3,800,000"
Faculty of Engineering & Survey,Female,19/1/328/D/435,Day,2023,Main Campus Luwero,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Fair,Agree,Good,Good,Average,Neutral,Agree,Disagree,Neutral,Disagree,Agree,NA,Agree,Agree,Disagree,Disagree,Agree,Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,Satisfied,3,4,Kiboga,Yokaana,"3,000,000"
Faculty of Engineering & Survey,Male,19/1/328/D/106,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Excellent,Agree,Good,Good,Fair,Neutral,Agree,Agree,Disagree,Neutral,Agree,improve on the quality if the meals provided,Agree,Neutral,Neutral,Disagree,Agree,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Very Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,4,4,Kyankwanzi,Muteesa,"3,800,000"
Faculty of Engineering & Survey,Male,19/1/328/D/028,Day,2023,Main Campus Luwero,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Strongly agree,Excellent,Strongly agree,Poor,Poor,Poor,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Agree,NA,Strongly disagree,Agree,Agree,Strongly disagree,Neutral,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,3,5,Kyotera,Akidua,"3,000,000"
Faculty of Engineering & Survey,Female,19/1/328/D/474,Day,2023,Main Campus Luwero,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Excellent,Agree,Good,Good,Good,Neutral,Agree,Strongly agree,Neutral,Neutral,Strongly agree,Food should be improved a bit,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Neutral,Satisfied,Satisfied,Very Dissatisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Satisfied,Very Satisfied,4,4,Bukomansimbi,Ham Mukasa,"3,800,000"
Faculty of Engineering & Survey,Male,19/1/328/D/162,Day,2023,Main Campus Luwero,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Agree,Neutral,Strongly agree,Excellent,Strongly agree,Average,Average,Average,Disagree,Agree,Agree,Neutral,Neutral,Strongly agree,Build university church,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,3,3,Butambala,Yokaana,"3,000,000"
Faculty of Engineering & Survey,Male,19/1/328/D/563,Day,2023,Main Campus Luwero,Neutral,Agree,Strongly agree,Disagree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Average,Strongly agree,Excellent,Good,Excellent,Disagree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Hygiene especially washrooms should be improved.,Strongly agree,Agree,Strongly disagree,Disagree,Strongly agree,Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Neutral,Very Satisfied,Satisfied,Neutral,Very Satisfied,2,1,Buvuma,Muteesa,"2,200,000"
Faculty of Engineering & Survey,Male,19/1/328/D/074,Day,2023,Main Campus Luwero,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Excellent,Strongly agree,Good,Good,Average,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Neutral,Strongly agree,NA,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Neutral,Very Satisfied,Neutral,Dissatisfied,Very Satisfied,Satisfied,Neutral,Neutral,Very Satisfied,Very Satisfied,NA,5,Gomba,Akidua,"3,000,000"
Faculty of Engineering & Survey,Male,19/1/328/d/682,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Good,Strongly agree,Fair,Fair,Average,Agree,Agree,Neutral,Disagree,Neutral,Strongly agree,School should continue to support the chaplaincy activities so that others can gain,Neutral,Agree,Neutral,Neutral,Neutral,Satisfied,Neutral,Neutral,Neutral,Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Neutral,Satisfied,Neutral,Dissatisfied,Neutral,Satisfied,5,5,Kalangala,Ham Mukasa,"3,800,000"
Faculty of Engineering & Survey,Male,20/2/328/w/570,Weekend,2023,Kampala Campus,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Average,Agree,Excellent,Average,Poor,Agree,Agree,Agree,Neutral,Agree,Agree,the dean should avail him self to students some of us live university without knowing these guys so we need to be introduced to staff to quicken the service,Disagree,Agree,Disagree,Strongly disagree,Agree,Dissatisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Neutral,Neutral,Dissatisfied,Neutral,Dissatisfied,Satisfied,Neutral,Very Satisfied,3,3,Kalungu,Yokaana,"3,000,000"
Faculty of Engineering & Survey,Female,19/2/328/W/649,Weekend,2023,Kampala Campus,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Excellent,Strongly agree,Fair,Good,Poor,Disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Improve communication,Agree,Agree,Agree,Strongly disagree,Agree,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Neutral,Very Dissatisfied,Satisfied,2,3,Kampala,Muteesa,"3,800,000"
Faculty of Engineering & Survey,Male,19/1/328/D/480,Day,2023,Main Campus Luwero,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Excellent,Strongly agree,Good,Good,Good,Agree,Agree,Agree,Agree,Agree,Agree,NA,Agree,Agree,Agree,Agree,Agree,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,4,4,Kasanda,Akidua,"3,000,000"
Faculty of Engineering & Survey,Male,19/1/328/D/194,Day,2023,Main Campus Luwero,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Good,Strongly agree,Average,Average,Poor,Disagree,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,A better location for office of the chaplain,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Very Dissatisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Satisfied,Very Satisfied,Satisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Satisfied,Satisfied,4,5,Kayunga,Ham Mukasa,"3,800,000"
Faculty of Engineering & Survey,Male,19/1/328/D/675,Day,2023,Main Campus Luwero,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Excellent,Agree,Good,Average,Average,Disagree,Agree,Agree,Disagree,Agree,Agree,Improve on accomodation facilities and meals,Agree,Agree,Agree,Neutral,Agree,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,3,3,Kiboga,Akidua,"3,000,000"
Faculty of Engineering & Survey,Female,19/1/328/D/684,Day,2023,Main Campus Luwero,Neutral,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Good,Agree,Good,Good,Average,Disagree,Neutral,Agree,Strongly disagree,Agree,Strongly agree,NA,Agree,Agree,Neutral,Disagree,Agree,Neutral,Satisfied,Neutral,Dissatisfied,Very Satisfied,Very Satisfied,Neutral,Dissatisfied,Neutral,Satisfied,Neutral,Neutral,Satisfied,Neutral,3,2,Kyankwanzi,Yokaana,"3,800,000"
